N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,CONDITIONNEMENT,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,DATE D'ENREGISTREMENT FINAL,TYPE,STATUT
956,152/12 F 129/08,12 F 129,Ténectéplase,METALYSE,PDRE. ET SOLV. INJ. IV,1000 U/ML OU 5MG/ML (10 000U/10ML OU 50MG/10ML),B/1FL. DE PDRE + 1 SERING. PRE REMPLIE DE SOLV. DE 10ML,LISTE I,HOP,,,BOEHRINGER INGELHEIM INTERNATIONAL Gmbh,ALLEMAGNE,2008-03-23 00:00:00,2008-03-23 00:00:00,RE,I
957,275/12 H 038/04,12 H 038,DESMOPRESSINE (ACETATE),MINIRIN,SOL.INJ.,4µG/ML,B/10AMP. DE 1ML,LISTE II,HOP,OFF,,FERRING S.A.S,FRANCE,2004-07-12 00:00:00,2004-07-12 00:00:00,RE,I
958,084/12 H 039/00,12 H 039,ETAMSYLATE,ETAMSYLATE,SOL INJ,250MG/2ML,B/10AMP. DE 2ML,,HOP,OFF,,BIOLOGICI ITALIA,ITALIE,2000-11-11 00:00:00,2000-11-11 00:00:00,GE,I
959,311/12 H 040/11,12 H 040,ETAMSYLATE,HEMOSYLAT,COMPRIME,250MG,B/20,,HOP,OFF,,LABORATOIRE GROUPEMENT PHARMACEUTIQUE ALGERIEN (LGPA),ALGERIE,2012-01-10 00:00:00,2012-01-10 00:00:00,GE,F
960,298/12 J 044/09,12 J 044,OCTOCOG ALFA (FACTEUR VIII RECOMBINANT DE COAGULATION ANTI-HEMOPHILIQUE),RECOMBINATE 500UI,PDRE. ET SOLVT. SOL. INJ. IV,500UI/FL. DE PDRE.,B/1FL. DE PDRE. + 1AMP. DE SOLVT. (E.P.P.I.) DE 10ML,LISTE I,HOP,,,BAXTER S.A.,FRANCE,2009-09-06 00:00:00,2009-09-06 00:00:00,GE,I
961,332/12 J 047/08,12 J 047,GELATINE FLUIDE MODIFIEE EXPRIMEE EN GELATINE ANHYDRE/CHLORURE DE SODIUM/CHLORURE DE MAGNESIUM HEXAHYDRATE/CHLORURE DE POTASSIUM/LACTATE DE SODIUM EN SOLUTION,PLASMION 3%,SOL. INJ. POUR PERF.IV,"3G/0,5382G/0,0305G/0,0373G/0,3360G/100ML",POCHE DE 500ML,,HOP,,,FRESENIUS KABI,FRANCE,2008-02-20 00:00:00,2008-02-20 00:00:00,RE,I
962,362/12 J 049/06,12 J 049,IMMUNOGLOBULINE HUMAINE (ANTI D),IMMUNOGLOBULINE HUMAINE ANTI-D (Rho),SOL. INJ.,250µG/ML,B/1AMP. DE 2ML,LISTE I,HOP,OFF,,FARMACUBA,CUBA,2007-02-06 00:00:00,2007-02-06 00:00:00,RE,I
963,264/12 J 105/02,12 J 105,GELATINE FLUIDE MODIFIEE,GELOFUSINE,SOL INJ POUR PERF.,4% DE GELATINE,B/10FL/500ML,,HOP,,,B.BRAUN MEDICAL S.A,FRANCE,2002-12-14 00:00:00,2002-12-14 00:00:00,RE,I
964,298/12 J 147/09,12 J 147,FACTEURS DE COAGULATION AYANT UNE ACTIVITE COURT-CIRCUITANT L'INHIBITEUR DE FACTEUR VIII (facteurs antihémophiliques),FEIBA 500U/20ML,PDRE. ET SOLVT. SOL. INJ. IV,500U°/FL. DE PDRE. (500U°/20ML) U°=UNITE FEIBA,"B/1FL. DE PDRE. + 1FL. DE SOLVT.(EPPI) DE 20ML+1AIGUILLE A USAGE UNIQUE A AILETTE AVEC PINCE + 1SERINGUE A USAGE UNIQUE + 1BAXJECT II HI-FLOW POUR LA RECONSTITUTION OU B/1FL. DE PDRE. + 1FL. DE SOLVT.(EPPI) DE 20ML+1AIGUILLE DE PERFUSION + UNE AIGUILLE D'AERATION ,AIGUILLE-FILTRE + (1AIGUILLE+1SERINGUE A USAGE UNIQUE) +TUBULURE+AIGUILLE A AILETTE",LISTE I,HOP,,,BAXTER A.G.,AUTRICHE,2009-09-03 00:00:00,2009-09-03 00:00:00,RE,I
965,424/12 J 154/09,12 J 154,OCTOCOG ALFA (FACTEUR VIII RECOMBINANT DE COAGULATION ANTI-HEMOPHILIQUE),KOGENATE,LYOPH. ET SOLV. SOL. INJ. IV,250UI/FL. DE PDRE.,"B/1FL. DE PDRE. + 1SERING. PREREMPL. DE SOLV. (E.P.P.I.) DE 2,5ML",LISTE I,HOP,,,BAYER HEALTHCARE LLC,ETATS UNIS D'AMERIQUE,2009-06-30 00:00:00,2009-06-30 00:00:00,RE,I
966,332/12 K 153/09,12 K 153,HYDROXYETHYLAMIDON 130 000/CHLORURE DE SODIUM,VOLUVEN 6%,SOL. PERF. IV,"6G/0,9G/100ML",POCHE/500ML,,HOP,,,FRESENIUS KABI,FRANCE,2009-06-21 00:00:00,2009-06-21 00:00:00,RE,I
967,011/13 A 001/00/10,13 A 001,AMIKACINE SULFATE EXPRIME EN AMIKACINE,LIKACIN,SOL. INJ. IM/IV,250MG/ML (500MG/2ML),B/1FL. DE 2ML ET B/50FL. DE 2ML,LISTE I,HOP,,,ITALIANO BIOCHIMICO FARMACEUTICO LISAPHARMA SPA,ITALIE,2000-05-27 00:00:00,2010-03-16 00:00:00,GE,I
968,001/13 A 001/98/09,13 A 001,AMIKACINE SULFATE EXPRIME EN AMIKACINE,MIACIN,SOL.INJ.,250MG/ML (500MG/2ML),B/6AMP. DE 2ML,LISTE I,HOP,,,HIKMA PHARMACEUTICALS,JORDANIE,1998-04-29 00:00:00,2009-07-19 00:00:00,GE,I
969,109/13 A 004/99,13 A 004,GENTAMICINE,EPIGENT 40,SOL.INJ.,40MG,B/5,LISTE I,HOP,OFF,,EIPICO,EGYPTE,1999-04-21 00:00:00,1999-04-21 00:00:00,GE,I
970,027/13 A 004/97,13 A 004,GENTAMICINE,GENTALLINE,SOL.INJ.,40MG/ML,B/1,LISTE I,HOP,OFF,,SCHERING PLOUGH,FRANCE,1997-04-02 00:00:00,1997-04-02 00:00:00,RE,I
971,084/13 A 004/99,13 A 004,GENTAMICINE,GENTOMIL,SOL.INJ IM - IV,40MG/ML,B/5AMP. DE 2ML,LISTE I,HOP,OFF,,BIOLOGICI ITALIA,ITALIE,1998-01-26 00:00:00,1998-01-26 00:00:00,GE,I
972,352/13 A 004/06,13 A 004,GENTAMICINE SULFATE EXPRIME EN GENTAMICINE,GENTATIC,SOL.INJ. IM/IV,20MG/ML** (OU 40MG/2ML),B/10FL.DE 2ML* - B/20FL. DE 2ML*,LISTE I,HOP,,B/10* ET B/20* RESERVES AUX HOPITAUX,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2006-07-31 00:00:00,2006-07-31 00:00:00,GE,I
973,039/13 A 005/97/08,13 A 005,GENTAMICINE,GENTAL,SOL.INJ.,40MG/ML (OU 80MG/2ML),B/1FL/2ML,LISTE I,HOP,OFF,,SOCIETE PHARMACEUTIQUE ALGERIENNE (SOPHAL),ALGERIE,1997-02-03 00:00:00,2008-04-06 00:00:00,GE,F
974,188/13 A 005/99,13 A 005,GENTAMICINE,GENTALEK,SOL.INJ.,80MG/2ML,B/1AMP.,LISTE I,HOP,OFF,,LEK,SLOVENIE,1999-03-16 00:00:00,1999-03-16 00:00:00,GE,I
975,027/13 A 005/97,13 A 005,GENTAMICINE,GENTALLINE,SOL.INJ.,80MG/2ML,B/1,LISTE I,HOP,OFF,,SCHERING PLOUGH,FRANCE,1997-04-02 00:00:00,1997-04-02 00:00:00,RE,I
976,080/13 A 005/98,13 A 005,GENTAMICINE,GENTAMICINE BIOCHEMIE,SOL.INJ.,80MG/2ML,B/5,LISTE I,HOP,OFF,,BIOCHEMIE GmbH,AUTRICHE,1998-01-26 00:00:00,1998-01-26 00:00:00,GE,I
977,084/13 A 005/99,13 A 005,GENTAMICINE,GENTOMIL,SOL.INJ,80MG/2ML,B/5AMP. DE 2ML,LISTE I,HOP,OFF,,BIOLOGICI ITALIA,ITALIE,1998-01-26 00:00:00,1998-01-26 00:00:00,GE,I
978,118/13 A 005/98,13 A 005,GENTAMICINE,ULTRAGENT,SOL.INJ.,80MG/2ML,B/1,LISTE I,HOP,OFF,,ARAB PHARMACEUTICAL MANUFACTURING,JORDANIE,1998-11-10 00:00:00,1998-11-10 00:00:00,GE,I
979,161/13 A 005/99,13 A 005,GENTAMICINE,GENTAMICINE,SOL.INJ.,80MG/2ML,B/5,LISTE I,HOP,OFF,,HEMOFARM,YOUGOSLAVIE,1999-06-22 00:00:00,1999-06-22 00:00:00,GE,I
980,282/13 A 005/03,13 A 005,GENTAMICINE SULFATE EXPRIME EN GENTAMICINE,GENTAMINE,SOL. INJ. IM/IV,40MG/ML (80MG/2ML),B/01,LISTE I,HOP,OFF,,UNILAB,ALGERIE,2003-06-10 00:00:00,2003-06-10 00:00:00,GE,F
981,001/13 A 234/00/09,13 A 234,AMIKACINE SULFATE EXPRIME EN AMIKACINE,MIACIN,SOL.INJ,50MG/ML (100MG/2ML),B/6 AMP. DE 2ML,LISTE I,HOP,,,HIKMA PHARMACEUTICALS,JORDANIE,2000-12-26 00:00:00,2009-07-19 00:00:00,GE,i
982,027/13 A 282/05,13 A 282,NETILMICINE (SULFATE),NETROMICINE PEDIATRIQUE,SOL. INJ. IM/IV,25MG/ML (25MG/1ML ET 50MG/2ML),B/1AMP. DE 1ML ET B/1AMP. DE 2ML,LISTE I,HOP,OFF,,SCHERING PLOUGH,FRANCE,2005-09-28 00:00:00,2005-09-28 00:00:00,RE,I
983,055/13 B 009/98,13 B 009,CEFALEXINE,CEPHADAR,GLES.,250MG,B/20,LISTE I,HOP,OFF,,DAR AL DAWA,JORDANIE,1998-09-01 00:00:00,1998-09-01 00:00:00,GE,I
984,173/13 B 009/98,13 B 009,CEFALEXINE,CEPHALEX,GLES.,250MG,B/20,LISTE I,HOP,OFF,,TABUK,ARABIE SAOUDITE,1998-09-27 00:00:00,1998-09-27 00:00:00,GE,I
985,226/13 B 009/99,13 B 009,CEFALEXINE,MIDAFLEX,GLES.,250MG,B/20,LISTE I,HOP,OFF,,"MIDDLE EAST PHARMACEUTICAL AND CHEMICAL INDUSTRIES,MEDICAL APPLIANCES Co",JORDANIE,1999-11-27 00:00:00,1999-11-27 00:00:00,GE,I
986,080/13 B 009/98,13 B 009,CEFALEXINE,OSPEXIN,GLES.,250MG,B/12,LISTE I,HOP,OFF,,BIOCHEMIE GmbH,AUTRICHE,1998-01-26 00:00:00,1998-01-26 00:00:00,GE,I
987,166/13 B 009/98,13 B 009,CEFALEXINE,RAMOXIN,GLES.,250MG,B/20,LISTE I,HOP,OFF,,RAM PHARMACEUTICAL INDUSTRIES,JORDANIE,1998-06-30 00:00:00,1998-06-30 00:00:00,GE,I
988,174/13 B 009/99,13 B 009,CEFALEXINE,UNILEXIN,GLES.,250MG,B/20,LISTE I,HOP,OFF,,UNITED PHARMACEUTICAL MANUFACTURING (UPM),JORDANIE,1999-07-13 00:00:00,1999-07-13 00:00:00,GE,I
989,437/13 B 010/98/09,13 B 010,CEFALEXINE,CEFACET Gé,COMP.PELLI.SEC.,500MG**,B/10,LISTE I,HOP,OFF,,CHEMICAL FARMA,FRANCE,1998-06-07 00:00:00,2009-05-09 00:00:00,GE,I
990,080/13 B 010/98,13 B 010,CEFALEXINE,OSPEXIN,COMPRIME,500MG,B/12,LISTE I,HOP,OFF,,BIOCHEMIE GmbH,AUTRICHE,1998-01-26 00:00:00,1998-01-26 00:00:00,GE,I
991,034/13 B 011/97,13 B 011,CEFALEXINE,KEFORAL,PDRE.SUSP.BUV.,125MG/5ML,FL/100ML,LISTE I,HOP,OFF,,ELI-LILLY,SUISSE,1997-10-22 00:00:00,1997-10-22 00:00:00,RE,I
992,080/13 B 011/98,13 B 011,CEFALEXINE,OSPEXIN,GRLES.SUSP.OR.,125MG/5ML,FL/60ML,LISTE I,HOP,OFF,,BIOCHEMIE GmbH,AUTRICHE,1998-01-26 00:00:00,1998-01-26 00:00:00,GE,I
993,001/13 B 012/02/08,13 B 012,CEFAZOLINE,HIKMA CEFAZOLIN,PDRE. SOL. INJ. IV,1G/FL. DE PDRE.,B/01FL. PDRE. ET B/10FL. DE PDRE.,LISTE I,HOP,,B/10FL. DE PDRE. RESERVE AUX HOP.,HIKMA PHARMACEUTICALS,JORDANIE,2002-04-27 00:00:00,2008-05-31 00:00:00,GE,I
994,196/13 B 012/01,13 B 012,CEFAZOLINE,SEFAZOL,PDRE.SOL.INJ. IV,1G/FL. DE PDRE.,B/1+1,LISTE I,HOP,OFF,,CUKUROVA DIS TICARET AS,TURQUIE,2001-09-29 00:00:00,2001-09-29 00:00:00,GE,I
995,003/13 B 012/97/09,13 B 012,CEFAZOLINE SODIQUE EXPRIME EN CEFAZOLINE,BACTIZOL,PDRE.SOL.INJ IM/IV,1G/FL,B/25FL.DE PDRE.,LISTE I,HOP,,B/25 RESERVEE AUX HÔPITAUX,SAIDAL GROUPE,ALGERIE,1997-10-22 00:00:00,2009-06-01 00:00:00,RE,F
996,001/13 B 013/02/08,13 B 013,CEFAZOLINE **(SOUS FORME SODIQUE),HIKMA CEFAZOLIN,PDRE. ET SOLV.SOL.INJ. IM,1G/FL. DE PDRE.,"B/1FL. PDRE.+1AMP. DE 3ML DE SOLV. (0,5% LIDOCAINE)",LISTE I,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2002-04-27 00:00:00,2008-05-31 00:00:00,GE,I
997,003/13 B 013/01/09,13 B 013,CEFAZOLINE SODIQUE EXPRIME EN CEFAZOLINE,BACTIZOL,PDRE. ET SOLV.SOL.INJ. IM,1G/FL,"B/1FL. PDRE. + 1AMP.SOLV. (0,5% LIDOCAINE) DE 4ML",LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2001-04-28 00:00:00,2009-06-01 00:00:00,GE,F
998,352/13 B 013/09,13 B 013,CEFAZOLINE,TAZOLINE,PDRE. ET SOLV. (LIDOCAINE) SOL.INJ. IM,200MG/ML OU 1000MG/5ML)**,B/1FL. DE PDRE. + 1AMP. DE 5ML DE SOLV.(LIDOCAINE),LISTE I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2009-05-11 00:00:00,2009-05-11 00:00:00,GE,I
999,216/13 B 014/05,13 B 014,CEFOTAXIME,CEFTAX,PDRE .SOL.INJ.IM/IV,1G,B/01Fl,LISTE I,HOP,,,RANBAXY-LTD,INDE,2005-09-28 00:00:00,2005-09-28 00:00:00,GE,I
1000,033/13 B 014/97,13 B 014,CEFOTAXIME,CLAFORAN,PDRE.SOL INJ.IV,1G,B/1+1,LISTE I,HOP,,,ROUSSEL,FRANCE,1997-03-23 00:00:00,1997-03-23 00:00:00,RE,I
1001,118/13 B 014/09,13 B 014,CEFOTAXIME SODIQUE EXPRIME EN CEFOTAXIME,CLAFOTAX,PDRE. ET SOLVT. SOL. INJ. IV,1G/FL. DE PDRE.,B/1FL. DE PDRE. + 1AMP. DE SOLVT. (E.P.P.I.) DE 5ML,LISTE I,HOP,,,ARAB PHARMACEUTICAL MANUFACTURING COMPANY LTD (APM),JORDANIE,2009-06-30 00:00:00,2009-06-30 00:00:00,GE,I
1002,352/13 B 014/02/09,13 B 014,CEFOTAXIME SODIQUE EXPRIME EN CEFOTAXIME,FOXIME,PDRE. ET SOLV. SOL. INJ. IV,1G/FL. DE PDRE.,B/1FL. DE PDRE + 1AMP. DE 5ML DE SOLV. (E.P.P.I.),LISTE I,HOP,,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2002-06-05 00:00:00,2009-07-19 00:00:00,GE,I
1003,176/13 B 015/01,13 B 015,CEFOTAXIME,BETAKSIM,PDRE.SOL.INJ.IV,500MG/2ML,B/1+1,LISTE I,HOP,,,MUSTAFA NEVZAT,TURQUIE,2001-09-29 00:00:00,2001-09-29 00:00:00,GE,I
1004,033/13 B 015/97,13 B 015,CEFOTAXIME,CLAFORAN,PDRE.SOL.INJ.IV,500MG,B/1+1,LISTE I,HOP,,,ROUSSEL,FRANCE,1997-03-23 00:00:00,1997-03-23 00:00:00,RE,I
1005,173/13 B 015/04,13 B 015,CEFOTAXIME,FOXIME USP,SOL INJ IM/IV,500MG,B./1AMP. + 5ML DE SOLV.,LISTE I,HOP,,,TABUK,ARABIE SAOUDITE,2004-03-23 00:00:00,2004-03-23 00:00:00,GE,I
1006,216/13 B 019/05,13 B 019,CEFTRIAXONE,OFRAMAX,PDRE. ET SOLV. SOL INJ IM/IV,1G,B/1+1,LISTE I,HOP,,,RANBAXY-LTD,INDE,2005-09-28 00:00:00,2005-09-28 00:00:00,GE,I
1007,352/13 B 019/01/09,13 B 019,CEFTRIAXONE SODIQUE EXPRIME EN CEFTRIAXONE,TRIAXONE,PDRE. ET SOLVT. SOL. INJ . IV,1G/FL. DE PDRE.**,B/1FL. DE PDRE. + 1AMP. DE 10ML DE SOLV.(E.P.P.I.),LISTE I,HOP,,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2001-10-23 00:00:00,2009-07-19 00:00:00,GE,I
1008,023/13 B 019/08,13 B 019,CEFTRIAXONE SODIQUE EXPRIME EN CEFTRIAXONE,CEFAXONE,PDRE.ET SOLV. SOL. IV,100MG/ML (1000MG/10ML),B/1FL. PDRE. + 1AMP. DE SOLV. DE 10ML,LISTE I,HOP,,,UNIMED,TUNISIE,2008-03-23 00:00:00,2008-03-23 00:00:00,GE,I
1009,226/13 B 156/00/09,13 B 156,CEFALEXINE,MIDAFLEX,PDRE .SUSP .BUV.,250MG/5ML**,FL/100ML,LISTE I,HOP,OFF,,"MIDDLE EAST PHARMACEUTICAL AND CHEMICAL INDUSTRIES,MEDICAL APPLIANCES Co",JORDANIE,2000-08-01 00:00:00,2009-08-27 00:00:00,GE,I
1010,080/13 B 156/98,13 B 156,CEFALEXINE,OSPEXIN,GRLES.SUSP.OR.,250MG/5ML,FL/60ML,LISTE I,HOP,OFF,,BIOCHEMIE GmbH,AUTRICHE,1998-05-12 00:00:00,1998-05-12 00:00:00,GE,I
1011,304/13 B 156/06,13 B 156,CEFALEXINE,PHARMEXIN,GRLES. SUSP. BUV.,250MG/5ML,FL/100ML,LISTE I,HOP,OFF,,GEOPHARM,ALGERIE,2006-12-02 00:00:00,2006-12-02 00:00:00,GE,F
1012,176/13 B 157/01,13 B 157,CEFAZOLINE,SEFAZOL,PDRE.SOL.INJ.IM/IV,500MG,B/1+1,LISTE I,HOP,OFF,,MUSTAFA NEVZAT,TURQUIE,2001-12-10 00:00:00,2001-12-10 00:00:00,GE,I
1013,001/13 B 158/01,13 B 158,CEFTRIAXONE,CEFTRIAXONA HIKMA,PDRE. ET SOL. P. SOL. INJ. IV,500MG/FL. DE PDRE.,B/1FL. DE PDRE. +1FL. DE 5ML DE SOLV.,LISTE I,HOP,,,HIKMA FARMACEUTICA (Portugal) SA,PORTUGAL,2001-12-19 00:00:00,2001-12-19 00:00:00,GE,I
1014,352/13 B 158/01/09,13 B 158,CEFTRIAXONE,TRIAXONE,PDRE. ET SOLV. SOL. INJ. IV,500MG/FL. DE PDRE.,B/1FL. DE PDRE. + 1AMP. DE 5ML DE SOLVT. (E.P.P.I.),LISTE I,HOP,,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2009-07-19 00:00:00,2001-10-23 00:00:00,GE,I
1015,080/13 B 184/98,13 B 184,CEFAZOLINE,CEFAZOLINE,PDRE.SOL.INJ IM/IV,1G,B/1+1 et B/50FL*,LISTE I,HOP,OFF,B/50 RESERVEE AUX HÔPITAUX,BIOCHEMIE GmbH,AUTRICHE,1998-05-12 00:00:00,1998-05-12 00:00:00,GE,I
1016,352/13 B 192/08,13 B 192,CEFACLOR,TABICLOR 375,PDRE. SUSP. BUV.,375MG/5ML,FL./75ML,LISTE I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2008-04-27 00:00:00,2008-04-27 00:00:00,GE,I
1017,001/13 B 194/01/10,13 B 194,CEFTIZOXIME SODIQUE EXPRIME EN CEFTIZOXIME,CEFIZOX 1000,PDRE. SOL. INJ. IV,1G/FL. DE PDRE.,B/1FL. DE PDRE.,LISTE I,HOP,,,HIKMA PHARMACEUTICALS,JORDANIE,2001-03-31 00:00:00,2010-06-27 00:00:00,GE,I
1018,304/13 B 198/07,13 B 198,CEFIXIME,CEFIX,PDRE. SUSP. BUV.,100MG/5ML,FL./30ML ET FL./60ML,LISTE I,HOP,OFF,,GEOPHARM,ALGERIE,2007-06-02 00:00:00,2007-06-02 00:00:00,GE,F
1019,097/13 B 198/10,13 B 198,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,SUPRAXIME,PDRE. SUSP. BUV.,100MG/5ML** APRES RECONSTITUTION,FL./60ML,LISTE I,HOP,OFF,,SANAMED,ALGERIE,2010-06-15 00:00:00,2010-06-15 00:00:00,GE,I
1020,352/13 B 198/09,13 B 198,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,WINEX,PDRE. SUSP. BUV.,100MG/5ML**,FL./60ML,LISTE I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2009-05-11 00:00:00,2009-05-11 00:00:00,GE,I
1021,226/13 B 198/08,13 B 198,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,BETIXIM,PDRE. SUSP. BUV.,100MG/5ML** (FORME HYDRATEE 117MG/5ML),FL./60ML,LISTE I,HOP,OFF,,"MIDDLE EAST PHARMACEUTICAL AND CHEMICAL INDUSTRIES,MEDICAL APPLIANCES Co",JORDANIE,2008-05-17 00:00:00,2008-05-17 00:00:00,GE,I
1022,016/13 B 199/99,13 B 199,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,OROKEN,GRLES.SUSP.BUV. SACHET,40MG,B/8,LISTE I,HOP,OFF,,RHONE POULENC RORER BELLON,FRANCE,1999-06-01 00:00:00,1999-06-01 00:00:00,RE,I
1023,016/13 B 200/99,13 B 200,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,OROKEN,GRLES.SUSP.BUV. SACHET,100MG,B/8,LISTE I,HOP,OFF,,RHONE POULENC RORER BELLON,FRANCE,1999-06-01 00:00:00,1999-06-01 00:00:00,RE,I
1024,321/13 B 201/06,13 B 201,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,ISIOCEF,COMPRIME,200MG,B/08,LISTE I,HOP,OFF,,BIOVITAL,ALGERIE,2007-01-06 00:00:00,2007-01-06 00:00:00,GE,I
1025,097/13 B 201/10,13 B 201,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,SUPRAXIME,COMPRIME PELLICULE,200MG**,B/8,LISTE I,HOP,OFF,,SANAMED,ALGERIE,2010-06-15 00:00:00,2010-06-15 00:00:00,GE,I
1026,226/13 B 201/09,13 B 201,CEFIXIME TRIHYDRATEE EXPRIME EN CEFIXIME,BETIXIM 200,GLES.,200MG,B/08,LISTE I,HOP,OFF,,"MIDDLE EAST PHARMACEUTICAL AND CHEMICAL INDUSTRIES,MEDICAL APPLIANCES Co",JORDANIE,2009-07-22 00:00:00,2009-07-22 00:00:00,GE,I
1027,437/13 B 203/99/09,13 B 203,CEFALEXINE MONOHYDRATEE EXPRIME EN CEFALEXINE,CEFACET Gé,GRLES. SACHET,250MG**,B/12 SACH.,LISTE I,HOP,OFF,,CHEMICAL FARMA,FRANCE,1999-09-18 00:00:00,2009-05-09 00:00:00,GE,I
1028,112/13 B 207/00,13 B 207,CEFUROXIME** AXETIL,ZINNAT,COMPRIME,125MG,B/14,LISTE I,HOP,OFF,,GLAXO WELLCOME,ROYAUME UNI,2000-01-10 00:00:00,2000-01-10 00:00:00,RE,I
1029,055/13 B 207/08,13 B 207,CEFUROXIME AXETIL EXPRIME EN CEFUROXIME,DAROXIME,COMPRIME,125MG,FL./10,LISTE I,HOP,OFF,,DAR AL DAWA DEVELOPMENT AND INVESTMENT CO LTD,JORDANIE,2008-03-19 00:00:00,2008-03-19 00:00:00,GE,I
1030,304/13 B 208/08,13 B 208,CEFUROXIME,CEFUTIL,COMPRIME,250MG,B/10,LISTE I,HOP,OFF,,GEOPHARM,ALGERIE,2008-05-17 00:00:00,2008-05-17 00:00:00,GE,F
1031,001/13 B 210/01,13 B 210,CEFUROXIME SODIQUE EXPRIME EN CEFUROXIME,CEFOFIX,PDRE. P. SOL. INJ. IM ET IV,750MG/FL. DE PDRE. 3ML(IM)** et 750MG/6ML(IV)**,B/1FL. DE PDRE. + 1FL. DE 3ML DE SOLV (IM) ET B/1FL. DE PDRE. + 1FL. DE 6ML DE SOLV (IV),LISTE I,HOP,,,HIKMA FARMACEUTICA (Portugal) SA,PORTUGAL,2002-01-05 00:00:00,2002-01-05 00:00:00,GE,I
1032,352/13 B 210/01/09,13 B 210,CEFUROXIME SODIQUE EXPRIME EN CEFUROXIME,ZINOXIME,PDRE.SOL.INJ.IM/IV,750MG/FL. DE PDRE.**,B/1FL. DE PDRE.,LISTE I,HOP,,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2001-10-23 00:00:00,2009-07-19 00:00:00,GE,I
1033,001/13 B 211/01,13 B 211,CEFUROXIME SODIQUE EXPRIME EN CEFUROXIME,CEFOFIX,PDRE.SOL.INJ IV,1500MG/FL. DE PDRE.,B/1FL. DE PDRE. + 1FL. DE 6ML DE SOLV.,LISTE I,HOP,,,HIKMA FARMACEUTICA (Portugal) SA,PORTUGAL,2001-12-19 00:00:00,2001-12-19 00:00:00,GE,I
1034,352/13 B 211/02/09,13 B 211,CEFUROXIME SODIQUE EXPRIME EN CEFUROXIME,ZINOXIME,PDRE SOL INJ IV,"1,5G/FL. DE PDRE.**",B/1FL. DE PDRE.,LISTE I,HOP,,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2002-06-23 00:00:00,2009-07-19 00:00:00,GE,I
1035,352/13 B 213/01/09,13 B 213,CEFTAZIDIME,ZIDIME,PDRE. SOL. INJ. IM/IV,1G/FL. DE PDRE.,B/1FL. DE PDRE.,LISTE I,HOP,,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2001-10-23 00:00:00,2009-07-19 00:00:00,GE,I
1036,437/13 B 223/00/09,13 B 223,CEFALEXINE,CEFACET Gé,COMP. PELLI. SEC.,1G,B/6,LISTE I,HOP,OFF,,CHEMICAL FARMA,FRANCE,2000-11-18 00:00:00,2009-05-09 00:00:00,GE,I
1037,001/13 B 226/01/10,13 B 226,CEFTIZOXIME** (SOUS FORME SODIQUE),CEFIZOX 1000,PDRE. ET SOLV. SOL INJ IM,1G/FL. DE PDRE.**,"B/1FL. DE PDRE. + 1AMP. DE 4ML DE SOLV.(0,5%LIDOCAINE)",LISTE I,HOP,,,HIKMA PHARMACEUTICALS,JORDANIE,2001-09-11 00:00:00,2010-06-27 00:00:00,GE,I
1038,001/13 B 247/01,13 B 247,CEFTRIAXONE,CEFTRIAXONA HIKMA,PDRE. ET SOLV. P. SOL. INJ. IM,500MG/FL. DE PDRE.,B/1FL.. DE PDRE. + 1FL. DE 2ML DE SOLV.(1%LIDOCAINE),LISTE I,HOP,,,HIKMA FARMACEUTICA (Portugal) SA,PORTUGAL,2001-12-19 00:00:00,2001-12-19 00:00:00,GE,I
