N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,TYPE,STATUT,DATE DE RETRAIT,MOTIF DE RETRAIT
1511,190/13 G 044/00,13 G 044,AMOXICILLINE,HYMOX,GLES.,250MG,B/20,Liste I,HOP,OFF,SAUDI PHARMACEUTICAL INDUSTRIES & MEDICAL APPLIANCES COORPORATION (SPIMACO),ARABIE SAOUDITE,2000-12-11 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
1512,080/13 G 044/98,13 G 044,AMOXICILLINE,OSPAMOX,GLES.,250MG,B/12,Liste I,HOP,OFF,BIOCHEMIE GmbH,AUTRICHE,1998-01-26 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
1513,225/13 G 044/00,13 G 044,AMOXICILLINE,PENACIN,GLES.,250MG,B/20,Liste I,HOP,OFF,JAZEERA PHARMACEUTICAL INDUSTRIES,ARABIE SAOUDITE,2000-02-02 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
1514,076/13 G 044/97,13 G 044,AMOXICILLINE,ARDINE,GLES.,250MG,B/12,Liste I,HOP,OFF,PHARMACIA UPJOHN,ESPAGNE,1997-12-30 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
1515,001/13 G 044/98,13 G 044,AMOXICILLINE,PENAMOX,GLES.,250MG,B/12,Liste I,HOP,OFF,HIKMA PHARMACEUTICALS,JORDANIE,1998-04-29 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
1516,178/13 G 045/99,13 G 045,AMOXICILLINE,MOXILEN,GLES,500MG,B/16,Liste I,HOP,OFF,MEDOCHEMIE LTD,CHYPRE,1999-05-24 00:00:00,Gé,I,2007-06-12 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
1517,076/13 G 045/97,13 G 045,AMOXICILLINE,ARDINE,GLES.,500MG,B/12,Liste I,HOP,OFF,PHARMACIA UPJOHN,ESPAGNE,1997-12-30 00:00:00,Gé,I,2008-05-14 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
1518,154/13 G 045/99,13 G 045,AMOXICILLINE,AMOXI-GOBENS,GLES.,500MG,B/12,Liste I,HOP,OFF,NORMON S.A,ESPAGNE,1999-01-17 00:00:00,Gé,I,2009-03-07 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
1519,057/13 G 045/98,13 G 045,AMOXICILLINE,AMODEX,GLES,500MG,B/12,Liste I,HOP,OFF,SYNTHELABO,FRANCE,1998-04-27 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1520,017/13 G 045/96,13 G 045,AMOXICILLINE,BRISTAMOX - HICONCIL,GLES,500MG,B/12,Liste I,HOP,OFF,BRISTOL MYERS SQUIBB,FRANCE,1996-09-24 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1521,160/13 G 045/99,13 G 045,AMOXICILLINE,LAMBERIN,GLES,500MG,B/12,Liste I,HOP,OFF,ANFARM HELLAS SA,GRECE,1999-01-09 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1522,193/13 G 045/99,13 G 045,AMOXICILLINE,NEOMOX,GLES,500MG,B/12,Liste I,HOP,OFF,GALENICA,MAROC,1999-01-03 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1523,118/13 G 045/98,13 G 045,AMOXICILLINE,ULTRAMOX,GLES,500MG,B/16,Liste I,HOP,OFF,ARAB PHARMACEUTICAL MANUFACTURING,JORDANIE,1998-12-01 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1524,093/13 G 045/98,13 G 045,AMOXICILLINE,ZAMOCILLINE,GLES,500MG,B/12,Liste I,HOP,OFF,ZAMBON,FRANCE,1998-03-31 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1525,440/13 G 045/09,13 G 045,AMOXICILLINE** (SOUS FORME TRIHYDRATEE),AMOXICILLINE KELA,GLES.,500MG,B/16,Liste I,HOP,OFF,TOPGEN E.S.V.,BELGIQUE,2009-07-19 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1526,055/13 G 045/01,13 G 045,AMOXICILLINE,AMOXYDAR FORTE,GLES.,500MG,B/12,Liste I,HOP,OFF,DAR AL DAWA,JORDANIE,2001-06-26 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1527,305/13 G 045/98,13 G 045,AMOXICILLINE,CLAMOXYL,GLES.,500MG,B/12,Liste I,HOP,OFF,GLAXOSMITHKLINE ALGERIE,ALGERIE,1998-02-28 00:00:00,Ré,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1528,050/13 G 045/98/10,13 G 045,AMOXICILLINE TRIHYDRATEE EXPRIME EN AMOXICILLINE,OSPAMOX,GLES.,500MG,B/12,Liste I,HOP,OFF,SANDOZ SPA,ALGERIE,1998-02-09 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1529,229/13 G 045/00,13 G 045,AMOXICILLINE,PHAMOX,GLES.,500MG,B/12,Liste I,HOP,OFF,PHARMA 5,MAROC,2000-07-26 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1530,099/13 G 045/98,13 G 045,AMOXICILLINE,AGRAM,GLES.,500MG,B/12,Liste I,HOP,OFF,PIERRE FABRE,FRANCE,1998-11-29 00:00:00,Gé,I,2013-12-11 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
1531,135/13 G 045/98,13 G 045,AMOXICILLINE,ALPHAMOX,GLES,500MG,B/12,Liste I,HOP,OFF,MEDICUBA,CUBA,1998-11-14 00:00:00,Gé,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
1532,295/13 G 045/05,13 G 045,AMOXICILLINE,AMOXICILLINE BIOGARAN,GLES,500MG,B/12,Liste I,HOP,OFF,BIOGARAN,FRANCE,2005-05-17 00:00:00,Gé,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
1533,051/13 G 045/98,13 G 045,AMOXICILLINE,GRAMIDIL,GLES,500MG,B/12,Liste I,HOP,OFF,LEURQUIN MEDIOLANUM,FRANCE,1998-11-28 00:00:00,Gé,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
1534,108/13 G 045/04,13 G 045,AMOXICILLINE,PAN-AMOXICILLINE,GLES,500MG,B/12,Liste I,HOP,OFF,PANPHARMA,FRANCE,2004-04-25 00:00:00,Gé,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
1535,195/13 G 045/99,13 G 045,AMOXICILLINE,CLAMOX,GLES.,500MG,B/12,Liste I,HOP,OFF,ALPHARM SPA,ALGERIE,1999-10-03 00:00:00,Gé,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
1536,081/13 G 045/97,13 G 045,AMOXICILLINE,AMOXICILLINE-RATIOPHARM,GLES.,500MG,B/12,Liste I,HOP,OFF,LAFON RATIOPHARM,FRANCE,1997-12-17 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE MSPRH POUR INTERDICTION DU LABORATOIRE
1537,225/13 G 045/00,13 G 045,AMOXICILLINE,PENACIN,GLES.,500MG,B/20,Liste I,HOP,OFF,JAZEERA,ARABIE SAOUDITE,2000-03-06 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1538,190/13 G 045/00,13 G 045,AMOXICILLINE,HYMOX,GLES.,500MG,B/20,Liste I,HOP,OFF,SAUDI PHARMACEUTICAL INDUSTRIES & MEDICAL APPLIANCES COORPORATION (SPIMACO),ARABIE SAOUDITE,2000-11-18 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1539,080/13 G 046/98,13 G 046,AMOXICILLINE,OSPAMOX,GRLES. P. SUSP.OR.,125MG/5ML,FL/60ML,Liste I,HOP,OFF,BIOCHEMIE GmbH,AUTRICHE,1998-01-26 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1540,051/13 G 046/98,13 G 046,AMOXICILLINE,GRAMIDIL,PDRE. P. SUSP BUV,125MG/5ML,FL/60ML,Liste I,HOP,OFF,LEURQUIN MEDIOLANUM,FRANCE,1998-11-28 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1541,137/13 G 046/99,13 G 046,AMOXICILLINE,FARCONCIL,PDRE. P. SUSP.BUV.,125MG/5ML,FL/60ML,Liste I,HOP,OFF,PHARCO EGYPTE,EGYPTE,1999-02-10 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1542,190/13 G 046/00,13 G 046,AMOXICILLINE,HYMOX,PDRE. P. SUSP.BUV.,125MG/5ML,FL/100ML,Liste I,HOP,OFF,SAUDI PHARMACEUTICAL INDUSTRIES & MEDICAL APPLIANCES COORPORATION (SPIMACO),ARABIE SAOUDITE,2000-11-18 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
