N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,TYPE,STATUT,DATE DE RETRAIT,MOTIF DE RETRAIT
605,111/06 E 053/99,06 E 053,CAPTOPRIL,HYPOTENSOR,COMP.,50MG,B/20,Liste I,HOP,OFF,FARAN SA,GRECE,1999-06-22 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
606,174/06 E 053/98,06 E 053,CAPTOPRIL,MINITEN,COMP.,50MG,B/20,Liste I,HOP,OFF,UNITED PHARMACEUTICAL MANUFACTURING (UPM),JORDANIE,1998-10-07 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
607,194/06 E 053/99,06 E 053,CAPTOPRIL,TENSIOMIN,COMP.,50MG,B/20,Liste I,HOP,OFF,EGIS. S.A,HONGRIE,1999-09-18 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
608,090/06 E 053/98,06 E 053,CAPTOPRIL,WERACAPRIL,COMP.,50MG,B/50 ET B/30,Liste I,HOP,OFF,WEIMER PHARMA,ALLEMAGNE,1998-03-23 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
609,416/06 E 053/09,06 E 053,CAPTOPRIL,CAPTOPRIL KELA,COMP. SEC.,50MG,B/30 - B/60,Liste I,HOP,OFF,KELA SA,BELGIQUE,2009-07-19 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
610,017/06 E 053/96,06 E 053,CAPTOPRIL,LOPRIL,COMP.SEC.,50MG,B/30,Liste I,HOP,OFF,BRISTOL MYERS SQUIBB,FRANCE,1996-09-24 00:00:00,Ré,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
611,119/06 E 053/99,06 E 053,CAPTOPRIL,CAPOTAL 50,COMP.,50MG,B/20,Liste I,HOP,OFF,ALPHA PHARMACEUTICAL INDUSTRIE,SYRIE,1999-02-14 00:00:00,Gé,F,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
612,137/06 E 053/99,06 E 053,CAPTOPRIL,FARCOPRIL,COMP.,50MG,B/20,Liste I,HOP,OFF,PHARCO EGYPTE,EGYPTE,1999-02-10 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
613,239/06 E 053/07,06 E 053,CAPTOPRIL,CAPTOPRIL MERCK,COMP. SEC.,50MG,B/30,Liste I,HOP,OFF,MERCK GENERIQUES,FRANCE,2008-03-23 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
614,094/06 E 056/99,06 E 056,CLONIDINE,BARCLYD,COMP.,"0,15MG",B/30,Liste II,HOP,OFF,BIOGALENIQUE,FRANCE,1999-01-04 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
615,035/06 E 059/02,06 E 059,ENALAPRIL ( SOUS FORME DE MALEATE)**,CONVERTASE,COMP.,5MG**,B/30,Liste I,HOP,OFF,PHARMALLIANCE,ALGERIE,2002-01-13 00:00:00,Gé,F,2013-04-24 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
616,429/06 E 059/09,06 E 059,ENALAPRIL MALEATE,ENALAPRIL IBERAL,COMP. SEC.,5MG,B/28,Liste I,HOP,OFF,IBERAL SPA,ALGERIE,2009-03-28 00:00:00,Gé,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
617,156/06 E 059/99,06 E 059,ENALAPRIL ( SOUS FORME DE MALEATE)**,ENALAPRIL RATIOPHARM,COMP.,5MG**,B/60,Liste I,HOP,OFF,RATIOPHARM S.A.,ESPAGNE,1999-01-17 00:00:00,Gé,F,RETRAIT,RETRAIT PAR LE MSPRH POUR INTERDICTION DU LABORATOIRE
618,283/06 E 059/03,06 E 059,ENALAPRIL ( SOUS FORME DE MALEATE)**,ENATEC-5,COMP.SEC.,5MG**,B/30,Liste I,HOP,OFF,MEPHA PHARMA L.T.D.,SUISSE,2003-10-12 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE MSPRH POUR INTERDICTION DU LABORATOIRE
619,035/06 E 060/01,06 E 060,ENALAPRIL ( SOUS FORME DE MALEATE)**,CONVERTASE,COMP.,20MG**,B/30,Liste I,HOP,OFF,PHARMALLIANCE,ALGERIE,2001-03-07 00:00:00,Gé,F,2013-04-24 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
620,038/06 E 060/97,06 E 060,ENALAPRIL MALEATE,ENALAPRIL,COMP.,20MG,B/28,Liste I,HOP,OFF,TEDEC MEIJI,ESPAGNE,1997-07-29 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
621,429/06 E 060/09,06 E 060,ENALAPRIL MALEATE,ENALAPRIL IBERAL,COMP. SEC.,20MG,B/28,Liste I,HOP,OFF,IBERAL SPA,ALGERIE,2009-03-28 00:00:00,Gé,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
622,156/06 E 060/99,06 E 060,ENALAPRIL ( SOUS FORME DE MALEATE)**,ENALAPRIL RATIOPHARM,COMP.,20MG**,B/28,Liste I,HOP,OFF,RATIOPHARM S.A.,ESPAGNE,1999-01-17 00:00:00,Gé,F,RETRAIT,RETRAIT PAR LE MSPRH POUR INTERDICTION DU LABORATOIRE
623,283/06 E 060/03,06 E 060,ENALAPRIL ( SOUS FORME DE MALEATE)**,ENATEC-20,COMP.SEC.,20MG**,B/28,Liste I,HOP,OFF,MEPHA PHARMA L.T.D.,SUISSE,2003-10-12 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE MSPRH POUR INTERDICTION DU LABORATOIRE
624,376/06 E 060/09,06 E 060,ENALAPRIL MALEATE,ENALAPRIL WINTHROP,COMPRIME SECABLE,20MG,B/28,Liste I,HOP,OFF,SANOFI AVENTIS,FRANCE,2009-02-28 00:00:00,Gé,I,2017-02-08 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
625,178/06 E 061/99,06 E 061,METHYLDOPA,DOPAMET,COMP,250MG,B/30,Liste I,HOP,OFF,MEDOCHEMIE LTD,CHYPRE,1999-01-17 00:00:00,Gé,I,2007-06-12 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
626,284/06 E 061/04,06 E 061,METHYLDOPA,METHYL DOPA SOLUPHARM,COMP PELL SEC,250MG,B/20,Liste I,HOP,OFF,SOLUPHARM SARL,ALGERIE,2004-03-03 00:00:00,Gé,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
627,121/06 E 061/99,06 E 061,METHYLDOPA,ALDOMETHYL,COMP.,250MG,B/30,Liste I,HOP,OFF,ASIA PHARMACEUTICALS,SYRIE,1999-04-14 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
628,043/06 E 061/98,06 E 061,METHYLDOPA,DOPANORE,COMP.,250MG,B/30,Liste I,HOP,OFF,JORDANIAN PHARMACEUTICAL MANIFACTURING,JORDANIE,1998-02-09 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
629,094/06 E 061/99,06 E 061,METHYLDOPA,EQUIBAR,COMP.,250MG,B/30,Liste I,HOP,OFF,BIOGALENIQUE,FRANCE,1999-01-12 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
630,146/06 E 061/98,06 E 061,METHYLDOPA,HY-PO-TONE 250,COMP.,250MG,B/100,Liste I,HOP,OFF,PHARMACARE LIMITED,AFRIQUE DU SUD,1998-10-13 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
631,194/06 E 061/99,06 E 061,METHYLDOPA,DOPEGYT,COMP.ENRO.,250MG,B/30,Liste I,HOP,OFF,EGIS. S.A,HONGRIE,1999-07-25 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
632,094/06 E 062/99,06 E 062,METHYLDOPA,EQUIBAR,COMP.,500MG,B/30,Liste I,HOP,OFF,BIOGALENIQUE,FRANCE,1999-01-12 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
633,194/06 E 062/99,06 E 062,METHYLDOPA,DOPEGYT,COMP.ENRO.,500MG,B/30,Liste I,HOP,OFF,EGIS. S.A,HONGRIE,1999-07-25 00:00:00,Gé,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
634,286/06 E 126/08,06 E 126,LOSARTAN POTASSIQUE,STATIX,COMP. PELLI.,50MG,B/30 ET P./30,Liste I,HOP,OFF,CHIMIE PHARMACIE COMMERCE MULTIPLE SARL (CPCM),ALGERIE,,Gé,F,2015-03-22 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
635,097/06 E 126/06,06 E 126,LOSARTAN POTASSIQUE,COSARTAN - 50,COMP. ENR. SEC.,50MG,B/30,Liste I,HOP,OFF,SANAMED,ALGERIE,2006-04-19 00:00:00,Gé,F,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
636,258/06 E 126/06,06 E 126,LOSARTAN POTASSIQUE,LOZAR 50,COMP. SEC.,50MG,B/30,Liste I,HOP,OFF,PETRA PHARM,ALGERIE,2006-07-31 00:00:00,Gé,F,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
637,321/06 E 126/08,06 E 126,LOSARTAN POTASSIQUE,ZARTENS,COMP.,50MG,B/30,Liste I,HOP,OFF,BIOVITAL,ALGERIE,2008-03-19 00:00:00,Gé,F,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
638,242/06 E 127/05,06 E 127,RAMIPRIL,RAMI,GLES,"2,5MG",B/30,Liste I,HOP,OFF,GROUPE SANTE,ALGERIE,2005-09-26 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
639,428/06 E 127/09,06 E 127,RAMIPRIL,RAMIPRIL WINTHROP,COMP. SEC.,"2,5MG",B/28,Liste I,HOP,OFF,WINTHROP PHARMA SAIDAL,ALGERIE,2009-01-27 00:00:00,Gé,F,2017-07-10 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
640,352/06 E 127/08,06 E 127,RAMIPRIL,RAMIPREX,COMP.,"2,5MG",B/28,Liste I,HOP,OFF,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2008-05-17 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
641,242/06 E 128/05,06 E 128,RAMIPRIL,RAMI,GLES.,5MG,B/30,Liste I,HOP,OFF,GROUPE SANTE,ALGERIE,2005-09-26 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
642,428/06 E 128/09,06 E 128,RAMIPRIL,RAMIPRIL WINTHROP,COMP. SEC.,5MG,B/28,Liste I,HOP,OFF,WINTHROP PHARMA SAIDAL,ALGERIE,2009-01-27 00:00:00,Gé,F,2017-07-10 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
643,321/06 E 128/08,06 E 128,RAMIPRIL,CURATEC,COMP.,5MG,B/30,Liste I,HOP,OFF,BIOVITAL,ALGERIE,2008-03-19 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
644,352/06 E 128/08,06 E 128,RAMIPRIL,RAMIPREX,COMP.,5MG,B/28,Liste I,HOP,OFF,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2008-05-17 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
645,376/06 E 131/13,06 E 131,QUINAPRIL CHLORHYDRATE EXPRIME EN QUINAPRIL / HYDROCHLOROTHIAZIDE,QUINAPRIL / HYDROCHLOROTHIAZIDE WINTHROP,COMP. PELLI. SEC.,"20MG/12,5MG",B/30,Liste I,HOP,OFF,SANOFI-AVENTIS FRANCE,FRANCE,2013-01-20 00:00:00,Gé,I,2017-02-08 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
646,239/06 E 137/07,06 E 137,CAPTOPRIL / HYDROCHLOROTHIAZIDE,CAPTOPRIL HYDROCHLOROTHIAZIDE MERCK,COMP.,50MG/25MG,B/28,Liste I,HOP,OFF,MERCK GENERIQUES,FRANCE,2007-04-22 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
647,242/06 E 139/05,06 E 139,RAMIPRIL,RAMI,GLES,"1,25MG",B/30,Liste I,HOP,OFF,GROUPE SANTE,ALGERIE,2005-09-26 00:00:00,Gé,F,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
648,068/06 E 146/99,06 E 146,VALSARTAN,TAREG,COMP.PELLI.,40MG,B/28,Liste I,HOP,OFF,NOVARTIS PHARMA S.A.,FRANCE,1999-06-09 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
649,321/06 E 147/08,06 E 147,VALSARTAN,RIVALTAN,COMP.,80MG,B/30,Liste I,HOP,OFF,BIOVITAL,ALGERIE,2008-05-17 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
650,092/06 E 153/00,06 E 153,CILAZAPRIL,JUSTOR,COMP. PELL . SEC,1MG,B/28,Liste I,HOP,OFF,CHIESI S.A.,FRANCE,2000-01-29 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
651,092/06 E 154/00,06 E 154,CILAZAPRIL,JUSTOR,COMP. PELL . SEC,"2,5MG",B/28,Liste I,HOP,OFF,CHIESI S.A.,FRANCE,2000-01-29 00:00:00,Ré,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
652,241/06 E 155/01,06 E 155,IRBESARTAN,APROVEL,COMP.,75MG,B/28,Liste I,HOP,OFF,SANOFI-BRISTOL MYERS SQUIBB,FRANCE,2001-01-24 00:00:00,Ré,I,2006-11-06 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
653,311/06 E 156/11,06 E 156,IRBESARTAN,ARTANSIL,COMP.,150MG,B/30,Liste I,HOP,OFF,LABORATOIRE GROUPEMENT PHARMACEUTIQUE ALGERIEN (LGPA),ALGERIE,2012-01-10 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
654,311/06 E 157/11,06 E 157,IRBESARTAN,ARTANSIL,COMP.,300MG,B/30,Liste I,HOP,OFF,LABORATOIRE GROUPEMENT PHARMACEUTIQUE ALGERIEN (LGPA),ALGERIE,2012-01-10 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
655,321/06 E 158/09,06 E 158,VALSARTAN / HYDROCHLOROTHIAZIDE,RIVALTAN-H,COMP. PELLI. SEC.,"80MG/12,5MG",B/30,Liste I,HOP,OFF,BIOVITAL,ALGERIE,2009-07-19 00:00:00,Gé,F,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
656,040/06 E 165/03,06 E 165,PERINDOPRIL TER-BUTYLAMINE,COVERSYL,COMP. SEC.,4MG,B/30 ET B/10,Liste I,HOP,OFF,SERVIER,FRANCE,2003-04-06 00:00:00,Ré,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
657,321/06 E 166/08,06 E 166,VALSARTAN,RIVALTAN,COMP.PELLI. SEC.,160MG,B/30,Liste I,HOP,OFF,BIOVITAL,ALGERIE,2008-05-17 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
658,097/06 E 167/08,06 E 167,LOSARTAN POTASSIQUE / HYDROCHLOROTHIAZIDE,LOSARTIC,COMP.,"50MG/12,5MG",B/30,Liste I,HOP,OFF,SANAMED,ALGERIE,2009-01-06 00:00:00,Gé,F,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
659,361/06 E 167/08,06 E 167,LOSARTAN POTASSIQUE / HYDROCHLOROTHIAZIDE,IZARTAN,COMP. PELLI.,"50MG/12,5MG",B/30,Liste I,HOP,OFF,MEDIFER SARL,ALGERIE,2009-01-06 00:00:00,Gé,F,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
660,321/06 E 167/08,06 E 167,LOSARTAN POTASSIQUE / HYDROCHLOROTHIAZIDE,ZARTENS - H,COMP. PELLI.,"50MG/12,5MG",B/30,Liste I,HOP,OFF,BIOVITAL,ALGERIE,2008-03-23 00:00:00,Gé,F,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
661,177/06 E 197/12,06 E 197,CANDESARTAN CILEXETIL,ONSART,COMP.,8MG,B/28,Liste I,HOP,OFF,ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S,TURQUIE,2012-08-30 00:00:00,Gé,I,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
662,242/06 E 201/09,06 E 201,RAMIPRIL,RAMI,COMP.SEC.,10MG,B/30,Liste I,HOP,OFF,GROUPE SANTE,ALGERIE,2009-02-28 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
663,428/06 E 201/09,06 E 201,RAMIPRIL,RAMIPRIL WINTHROP,COMP. SEC.,10MG,B/28,Liste I,HOP,OFF,WINTHROP PHARMA SAIDAL,ALGERIE,2009-01-27 00:00:00,Gé,F,2017-07-10 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
664,352/06 E 201/08,06 E 201,RAMIPRIL,RAMIPREX,COMP.,10MG,B/28,Liste I,HOP,OFF,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2008-05-17 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
665,256/06 E 207/05/16,06 E 207,ATENOLOL / NIFEDIPINE,TENORDATE,GLES,50MG/20MG,B/28,Liste I,HOP,OFF,ASTRA ZENECA,FRANCE,2005-11-06 00:00:00,Ré,I,2018-08-14 00:00:00,RETRAIT PAR LE DETENTEUR a cause 'UN ARRET DE COMMERCIALISATION DANS LE PAYS D'ORIGINE
666,429/06 E 222/09,06 E 222,ENALAPRIL MALEATE / HYDROCHLOROTHIAZIDE,ENALAPRIL/HYDROCHLOROTHIAZIDE IBERAL,COMP. SEC.,"20MG/ 12,5MG",B/28,Liste I,HOP,OFF,IBERAL SPA,ALGERIE,2009-04-19 00:00:00,Gé,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
667,040/06 E 227/06,06 E 227,PERINDOPRIL TER-BUTYLAMINE / INDAPAMIDE,PRETERAX,COMP. SEC.,"2MG/0,625MG",B/30,Liste I,HOP,OFF,SERVIER,FRANCE,2007-02-13 00:00:00,Ré,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
668,040/06 E 228/07,06 E 228,PERINDOPRIL TER-BUTYLAMINE / INDAPAMIDE,BIPRETERAX,COMP. SEC.,"4MG/1,25MG",B/14 ET B/30,Liste I,HOP,OFF,SERVIER,FRANCE,2007-03-07 00:00:00,Ré,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
669,149/06 E 228/14,06 E 228,PERINDOPRIL TER-BUTYLAMINE / INDAPAMIDE,BINOVAX,COMP.,"4MG/1,25MG",B/30,LISTE I,HOP,OFF,NOVAPHARM TRADING SARL,ALGERIE,2014-06-07 00:00:00,Gé,F,2021-08-25 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
670,177/06 E 231/12,06 E 231,CANDESARTAN (SOUS FORME DE CELEXETIL)** / HYDROCHLOROTHIAZIDE,ONSART PLUS,COMP.,"16MG**/12,5MG",B/28,Liste I,HOP,OFF,ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.Ş,TURQUIE,2012-11-08 00:00:00,Gé,I,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
671,177/06 E 234/12,06 E 234,CANDESARTAN CELEXETIL,ONSART 16MG,COMP.,16MG,B/28,Liste I,HOP,OFF,ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S,TURQUIE,2012-08-30 00:00:00,Gé,I,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
672,321/06 E 237/09,06 E 237,VALSARTAN / HYDROCHLOROTHIAZIDE,RIVALTAN-H,COMP. PELLI. SEC.,"160MG/12,5MG",B/30,Liste I,HOP,OFF,BIOVITAL,ALGERIE,2009-07-19 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
673,161/06 E 240/14,06 E 240,LOSARTAN POTASSIQUE,LOSARTAN HEMOFARM,COMP. PELLI.,100MG,B/28,Liste I,HOP,OFF,HEMOFARM A.D,SERBIE,2014-02-16 00:00:00,Gé,I,2015-07-09 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
674,040/06 E 246/08,06 E 246,PERINDOPRIL TER-BUTYLAMINE,COVERSYL,COMP.,8MG,B/30,Liste I,HOP,OFF,SERVIER,FRANCE,2008-05-17 00:00:00,Ré,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
675,428/06 E 263/16,06 E 263,TELMISARTAN,TELMISARTAN ZENTIVA,COMPRIME,40MG,B/30,Liste I,HOP,OFF,WINTHROP PHARMA SAIDAL SPA,ALGERIE,2016-05-11 00:00:00,Gé,F,2017-02-07 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
676,428/06 E 264/16,06 E 264,TELMISARTAN,TELMISARTAN ZENTIVA,COMPRIME,80MG,B/30,Liste I,HOP,OFF,WINTHROP PHARMA SAIDAL SPA,ALGERIE,2016-02-16 00:00:00,Gé,F,2017-02-07 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
677,001/06 E 274/09,06 E 274,LISINOPRIL** (SOUS FORME DIHYDRATEE),INOPRIL,COMP.,5MG**,B/28,Liste I,HOP,OFF,HIKMA PHARMACEUTICALS,JORDANIE,2009-07-19 00:00:00,Gé,I,2013-10-27 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
678,001/06 E 275/09,06 E 275,LISINOPRIL** (SOUS FORME DIHYDRATEE),INOPRIL,COMP.,10MG**,B/28,Liste I,HOP,OFF,HIKMA PHARMACEUTICALS,JORDANIE,2009-07-19 00:00:00,Gé,I,2013-10-27 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
679,001/06 E 276/09,06 E 276,LISINOPRIL** (SOUS FORME DIHYDRATEE),INOPRIL,COMP.,20MG**,B/14,Liste I,HOP,OFF,HIKMA PHARMACEUTICALS,JORDANIE,2009-07-19 00:00:00,Gé,I,2013-10-27 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
680,429/06 E 276/09,06 E 276,LISINOPRIL DIHYDRATEE EXPRIME EN LISINOPRIL,LISINOPRIL IBERAL,COMP. SEC.,20MG,B/28,Liste I,HOP,OFF,IBERAL SPA,ALGERIE,2009-07-19 00:00:00,Gé,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
681,039/06 F 067/01,06 F 067,ACEBUTOLOL,ACETRAL,COMP.,200MG,B/20,Liste I,HOP,OFF,SOCIETE PHARMACEUTIQUE ALGERIENNE (SOPHAL),ALGERIE,2001-01-15 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
682,263/06 F 067/06,06 F 067,ACEBUTOLOL,CARDIOL,COMP.,200MG,B/30,Liste I,HOP,OFF,BIOPHARM ALGERIE,ALGERIE,2006-12-02 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
683,285/06 F 067/06,06 F 067,ACEBUTOLOL,ACEBUTOLOL UPC,COMP. PELLI.,200MG,B/30,Liste I,HOP,OFF,UNION PHARMACEUTIQUE CONSTANTINOISE (UPC),ALGERIE,2006-02-25 00:00:00,Gé,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
684,012/06 F 067/96/07,06 F 067,ACEBUTOLOL** (SOUS FORME DE CHLORHYDRATE),CROTOLOL,COMP.PELLI.,200MG**,B/20,Liste I,HOP,OFF,CROVIS PHILCOM,ITALIE,1996-10-13 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
685,195/06 F 067/03,06 F 067,ACEBUTOLOL,ALBUTOL,COMP. PELLI.,200MG,B/20,Liste I,HOP,OFF,ALPHARM SPA,ALGERIE,2003-06-10 00:00:00,Gé,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
686,295/06 F 067/05,06 F 067,ACEBUTOLOL,ACEBUTOLOL BIOGARAN,COMP.PELLI.,200MG,B/20,Liste I,HOP,OFF,BIOGARAN,FRANCE,2005-05-08 00:00:00,Gé,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
687,097/06 F 067/01,06 F 067,ACEBUTOLOL,SECTRAMED,COMP.PELLI.,200MG,B/20,Liste I,HOP,OFF,SANAMED,ALGERIE,2001-08-21 00:00:00,Gé,F,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
688,239/06 F 067/07,06 F 067,ACEBUTOLOL,ACEBUTOLOL MERCK,COMP. PELLI.SEC.,200MG,B/30,Liste I,HOP,OFF,MERCK GENERIQUES,FRANCE,2007-11-18 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
689,347/06 F 067/07,06 F 067,ACEBUTOLOL,ACEBUTOLOL G GAM,COMP.PELLI.,200MG,B/30,Liste I,HOP,OFF,G GAM,FRANCE,2007-11-04 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
