N,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,CONDITIONNEMENT,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,DATE D'ENREGISTREMENT FINAL,TYPE,STATUT,DUREE DE STABILITE
1015,470/06 E 157/12/18,06 E 157,IRBESARTAN,ZIBRAT,COMPRIME PELLICULE,300MG,B/30,LISTE I,HOP,OFF,,SARL LABORATOIRES MM,ALGERIE,2012-12-05 00:00:00,2018-04-02 00:00:00,GE,F,36 MOIS
1016,479/06 E 157/13,06 E 157,IRBESARTAN,IRBAC,COMPRIME PELLICULE,300MG,B/30,LISTE I,HOP,OFF,,BAC PHARMA SPA,ALGERIE,2013-07-07 00:00:00,2013-07-07 00:00:00,GE,F,
1017,001/06 E 158/14,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,CO-ARBITAN,COMPRIME PELLICULE,"80MG/12,5MG",B/30,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2014-05-04 00:00:00,2016-10-06 00:00:00,GE,F,36 MOIS
1018,003/06 E 158/23,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,VALSIS PLUS,COMPRIME PELLICULE,"80MG/12,5MG",B/30,LISTE I,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2023-07-17 00:00:00,2024-01-31 00:00:00,GE,F,36 MOIS
1019,035/06 E 158/16,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,VALACLOR PLUS,COMPRIME,"80MG/12,5MG",B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2016-02-15 00:00:00,2016-02-15 00:00:00,GE,F,36 MOIS
1020,068/06 E 158/01/20,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,COTAREG,COMPRIME PELLICULE,"80MG/12,5MG",B/28,LISTE I,HOP,OFF,,NOVARTIS PHARMA SCHWEIZ AG,SUISSE,2001-06-02 00:00:00,2024-03-17 00:00:00,RE,F,36 MOIS
1021,149/06 E 158/14,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,NOVAVALZ PLUS,COMPRIME PELLICULE,"80MG/12,5MG",B/30,LISTE I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,2014-02-16 00:00:00,2014-02-16 00:00:00,GE,F,24 MOIS
1022,173/06 E 158/20,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,CO-TABUVAN,COMPRIME PELLICULE,"80MG/12,5MG",B/30,,HOP,OFF,,EURL TABUK ALGERIE,ALGERIE,2020-12-15 00:00:00,2023-05-31 00:00:00,GE,F,36 MOIS
1023,268/06 E 158/14/24,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,CO-VALEX,COMPRIME PELLICULE,"80MG/12,5MG",B/30,LISTE I,HOP,OFF,,LABORATOIRES MERINAL FABRICATION,ALGERIE,2014-01-06 00:00:00,2024-01-21 00:00:00,GE,F,36 MOIS
1024,309/06 E 158/14,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,VALSARTAN+HCTZ LDM,COMPRIME PELLICULE,"80MG/12,5MG",B/30,LISTE I,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2014-04-13 00:00:00,2014-04-13 00:00:00,GE,F,36 MOIS
1025,317/06 E 158/16/23,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,CO-RETA,COMPRIME PELLICULE,"80MG/12,5MG",B/30,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2016-02-16 00:00:00,2023-01-28 00:00:00,GE,F,24 MOIS
1026,352/06 E 158/10/16,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,COSARTEG,COMPRIME ENROBE,"80MG/12,5MG",B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2010-06-30 00:00:00,2016-01-17 00:00:00,GE,F,36 MOIS
1027,447/06 E 158/11/23,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,CO VALASTAN,COMPRIME PELLICULE,"80MG/12,5MG",B/30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2011-08-24 00:00:00,2023-04-04 00:00:00,GE,F,36 MOIS
1028,468/06 E 158/14,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,CO-LIPIRINAD,COMPRIME PELLICULE,"80MG/12,5MG",B/28,LISTE I,HOP,OFF,,NADPHARMADIC-PRODUCTION,ALGERIE,2014-10-13 00:00:00,2014-10-13 00:00:00,GE,F,36 MOIS
1029,470/06 E 158/12/18,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,COVESTAG,COMPRIME PELLICULE,"80MG/12,5MG",B/30,LISTE I,HOP,OFF,,SARL LABORATOIRES MM,ALGERIE,2012-09-25 00:00:00,2018-08-01 00:00:00,GE,F,36 MOIS
1030,289/06 E 158/24,06 E 158,VALSARTAN/HYDROCHLOROTHIAZIDE,CO TAROVAL,COMPRIME PELLICULE,"80MG/12,5MG",B/30,LISTE I,HOP,OFF,,FRATER-RAZES FORME SECHE,ALGERIE,2024-04-15 00:00:00,2024-04-15 00:00:00,GE,F,36 MOIS
1031,352/06 E 165/16/22,06 E 165,PERINDOPRIL ERBUMINE,PERINDOSYL,COMPRIME,4MG,B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2016-07-26 00:00:00,2022-04-12 00:00:00,GE,F,24 MOIS
1032,447/06 E 165/12/23,06 E 165,PERINDOPRIL TER-BUTYLAMINE,PERINDOPRIL BEKER,COMPRIME SECABLE,4MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2012-10-15 00:00:00,2023-03-29 00:00:00,GE,F,36 MOIS
1033,001/06 E 166/14/23,06 E 166,VALSARTAN,ARBITAN,COMPRIME PELLICULE,160MG,B/30,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2014-04-13 00:00:00,2023-06-11 00:00:00,GE,F,36 MOIS
1034,035/06 E 166/15,06 E 166,VALSARTAN,VALACLOR 160,COMPRIME PELLICULE,160MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2015-07-30 00:00:00,2015-07-30 00:00:00,GE,F,36 MOIS
1035,068/06 E 166/02/24,06 E 166,VALSARTAN,TAREG,COMPRIME PELLICULE,160MG,B/28,LISTE I,HOP,OFF,,NOVARTIS PHARMA SCHWEIZ AG,SUISSE,2002-03-16 00:00:00,2024-03-17 00:00:00,RE,F,36 MOIS
1036,173/06 E 166/22,06 E 166,VALSARTAN,TABUVAN,COMPRIME PELLICULE,160MG,BOITE DE 30,LISTE I,HOP,OFF,,EURL TABUK ALGERIE,ALGERIE,2022-06-01 00:00:00,2024-01-31 00:00:00,GE,F,36 MOIS
1037,268/06 E 166/12/23,06 E 166,VALSARTAN,VALEX 160,COMPRIME PELLICULE,160MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES MERINAL FABRICATION,ALGERIE,2012-03-20 00:00:00,2023-05-31 00:00:00,GE,F,
1038,309/06 E 166/13,06 E 166,VALSARTAN,VALSARTAN LDM,COMPRIME PELLICULE SECABLE,160MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2013-02-18 00:00:00,2013-02-18 00:00:00,GE,F,36 MOIS
1039,317/06 E 166/14/23,06 E 166,VALSARTAN,RETA 160,COMPRIME PELLICULE,160MG,B/28,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2014-06-15 00:00:00,2023-01-29 00:00:00,GE,F,24 MOIS
1040,352/06 E 166/10/24,06 E 166,VALSARTAN,SARTEG,COMPRIME PELLICULE,160MG,B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2010-05-13 00:00:00,2024-02-15 00:00:00,GE,F,36 MOIS
1041,380/06 E 166/19,06 E 166,VALSARTAN,HUREG,COMPRIME PELLICULE,160MG,B/30,LISTE I,HOP,OFF,,HUPP PHARMA,ALGERIE,2019-01-24 00:00:00,2019-01-24 00:00:00,GE,F,24 MOIS
1042,447/06 E 166/09/23,06 E 166,VALSARTAN,VALASTAN,COMPRIME PELLICULE,160MG,B/30 - B/90,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2009-09-24 00:00:00,2023-04-24 00:00:00,GE,F,36 MOIS
1043,470/06 E 166/12/18,06 E 166,VALSARTAN,VESTAG,COMPRIME PELLICULE,160MG,B/30,LISTE I,HOP,OFF,,SARL LABORATOIRES MM,ALGERIE,2012-12-05 00:00:00,2018-04-22 00:00:00,GE,F,36 MOIS
1044,518/06 E 166/16,06 E 166,VALSARTAN,DIVALAN,COMPRIME PELLICULE,160MG,B/28,LISTE I,HOP,OFF,,TAPHCO,ALGERIE,2016-11-09 00:00:00,2016-11-09 00:00:00,GE,F,24 MOIS
1045,544/06 E 166/18/24,06 E 166,VALSARTAN,VIASART,COMPRIME PELLICULE,160MG,B/30,LISTE I,HOP,OFF,,SARL WORLD MEDICINE,ALGERIE,2018-06-05 00:00:00,2024-04-02 00:00:00,GE,F,36 MOIS
1046,005/06 E 167/03/23,06 E 167,LOSARTAN POTASSIQUE / HYDROCHLOROTHIAZIDE,HYZAAR,COMPRIME PELLICULE,50MG/12.5MG,BOITE DE 28,LISTE I,HOP,OFF,,ORGANON N.V.,FRANCE,2003-04-16 00:00:00,2023-12-17 00:00:00,RE,F,36 MOIS
1047,024/06 E 167/03/19,06 E 167,LOSARTAN POTASSIQUE/ HYDROCHLOROTHIAZIDE,HYZAAR,COMPRIME,"50MG/12,5MG",B/28,LISTE I,HOP,OFF,,MERCK SHARP &DHOME LIMITED,FRANCE,2003-04-16 00:00:00,2019-02-28 00:00:00,RE,F,36 MOIS
1048,304/06 E 167/17,06 E 167,LOSARTAN POTASSIQUE/ HYDROCHLOROTHIAZIDE,THIAZARTAN,COMPRIME PELLICULE,"50MG/12,5MG",B/30,LISTE I,HOP,OFF,,GEOPHARM,ALGERIE,2017-06-29 00:00:00,2017-06-29 00:00:00,GE,F,24 MOIS
1049,317/06 E 167/11/22,06 E 167,LOSARTAN POTASSIQUE / HYDROCHLOROTHIAZIDE,CO-NORTA,COMPRIME PELLICULE,"50MG/12,5MG",B/30,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2011-05-04 00:00:00,2022-12-29 00:00:00,GE,F,36 MOIS
1050,447/06 E 167/11/17,06 E 167,LOSARTAN POTASSIQUE/ HYDROCHLOROTHIAZIDE,COBEKTAL,COMPRIME PELLICULE,"50MG/12,5MG",B/28 ET B/30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2011-01-05 00:00:00,2017-07-30 00:00:00,GE,F,36 MOIS
1051,468/06 E 167/13,06 E 167,LOSARTAN POTASSIQUE/ HYDROCHLOROTHIAZIDE,CO-HYSARTAN,COMPRIME PELLICULE,"50MG/12,5MG",B/28,LISTE I,HOP,OFF,,NADPHARMADIC-PRODUCTION,ALGERIE,2013-01-13 00:00:00,2013-01-13 00:00:00,GE,F,36 MOIS
1052,149/06 E 168/17,06 E 168,LERCANIDIPINE CHLORHYDRATE,LERCA,COMPRIME PELLICULE SECABLE,10MG,B/30,LISTE I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,2017-06-12 00:00:00,2017-06-12 00:00:00,GE,F,24 MOIS
1053,263/06 E 168/19,06 E 168,LERCANIDIPINE CHLORHYDRATE,CORDIPINE,COMPRIME PELLICULE SECABLE,10MG,B/30,LISTE I,HOP,OFF,,BIOPHARM SPA,ALGERIE,2019-04-30 00:00:00,2019-04-30 00:00:00,GE,F,24 MOIS
1054,269/06 E 168/01/23,06 E 168,LERCANIDIPINE CHLORHYDRATE,ZANIDIP,COMPRIME PELLICULE SECABLE,10MG,B/30 ET B/90,LISTE I,HOP,OFF,,BOUCHARA-RECORDATI,FRANCE,2001-09-29 00:00:00,2023-04-11 00:00:00,RE,F,24 MOIS
1055,309/06 E 168/22,06 E 168,LECARNIDIPINE HYDROCHLORIDE,LECARNIDIPINE LDM,COMPRIME PELLICULE SECABLE,10 MG,BOITE DE 30,LISTE I,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2022-12-27 00:00:00,2022-12-27 00:00:00,GE,F,24 MOIS
1056,352/06 E 168/14/21,06 E 168,CHLORHYDRATE DE LERCANIDIPINE,DEPADIUM,COMPRIME PELLICULE SECABLE,10MG,B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2014-09-01 00:00:00,2021-04-04 00:00:00,GE,F,36 MOIS
1057,380/06 E 168/21,06 E 168,LERCANIDIPINE CHLORHYDRATE,CARDIPINE,COMPRIME PELLICULE SECABLE,10MG,B/30,LISTE I,HOP,OFF,,HUPP PHARMA,ALGERIE,2021-04-14 00:00:00,2021-04-14 00:00:00,GE,F,24 MOIS
1058,418/06 E 168/20,06 E 168,LERCANIDIPINE HYDROCHLORIDE,DINAZIP,COMPRIME PELLICULE SECABLE,10MG,B/28,LISTE I,HOP,OFF,,NEOMEDIC,ALGERIE,2020-01-20 00:00:00,2020-01-20 00:00:00,GE,F,24 MOIS
1059,447/06 E 168/15/21,06 E 168,CHLORHYDRATE DE LERCANIDIPINE,LERCANIDIPINE BEKER,COMPRIME PELLICULE SECABLE,10MG,B/30 ET B/90,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2015-10-04 00:00:00,2021-03-30 00:00:00,GE,F,36 MOIS
1060,317/06 E 196/17/23,06 E 196,CANDESARTAN CILEXETIL,TENSIONORM,COMPRIME SECABLE,4MG,B/30,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2017-06-18 00:00:00,2023-01-29 00:00:00,GE,F,36 MOIS
1061,352/06 E 196/14,06 E 196,CANDESARTAN CILEXETIL,SARCAND,COMPRIME,4MG,B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2014-01-21 00:00:00,2014-01-21 00:00:00,GE,F,
1062,380/06 E 196/20,06 E 196,CADESARTAN CILEXETIL,ATASARTAN,COMPRIME SECABLE,4MG,B/30,LISTE I,HOP,OFF,,HUPP PHARMA,ALGERIE,2020-05-31 00:00:00,2020-05-31 00:00:00,GE,F,24 MOIS
1063,490/06 E 196/23,06 E 196,CANDESARTAN CILEXETIL,KANZEN,COMPRIME,4 MG,BOITE DE 30,LISTE I,HOP,OFF,,SARL PHARMA SPHERE,ALGERIE,2023-05-31 00:00:00,2023-05-31 00:00:00,GE,F,24 MOIS
1064,001/06 E 197/07/23,06 E 197,CANDESARTAN CILEXETIL,BLOPRESS 8MG,COMPRIME SECABLE,8MG,B/30,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2007-07-09 00:00:00,2023-02-06 00:00:00,GE,F,36 MOIS
1065,035/06 E 197/15,06 E 197,CANDESARTAN CILEXETIL,CANDERAX,COMPRIME SECABLE,8MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2015-07-30 00:00:00,2015-07-30 00:00:00,GE,F,24 MOIS
1066,235/06 E 197/15,06 E 197,CANDESARTAN CILEXETIL,CARDAXEL BGL,COMPRIME SECABLE,8MG,B/30,LISTE I,HOP,OFF,,BIOGALENIC,ALGERIE,2015-03-03 00:00:00,2015-03-03 00:00:00,GE,F,24 MOIS
1067,256/06 E 197/02/23,06 E 197,CANDESARTAN CILEXETIL,ATACAND,COMPRIME SECABLE,8MG,B/30,LISTE I,HOP,OFF,,ASRA ZENECA AB,SUEDE,2002-03-16 00:00:00,2024-04-18 00:00:00,RE,F,36 MOIS
1068,317/06 E 197/19,06 E 197,CANDESARTAN CILEXETIL,TENSIONORM,COMPRIME SECABLE,8MG,B/30,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2019-05-20 00:00:00,2019-05-20 00:00:00,GE,F,24 MOIS
1069,352/06 E 197/14,06 E 197,CANDESARTAN CILEXETIL,SARCAND,COMPRIME,8MG,B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2014-01-06 00:00:00,2014-01-06 00:00:00,GE,F,
1070,380/06 E 197/20,06 E 197,CANDESARTAN CILEXETIL,ATASARTAN,COMPRIME SECABLE,8MG,B/31,LISTE I,HOP,OFF,,HUPP PHARMA,ALGERIE,2020-08-26 00:00:00,2020-08-26 00:00:00,GE,F,24 MOIS
1071,447/06 E 197/12,06 E 197,CANDESARTAN CILEXETIL,ATABEK,COMPRIME SECABLE,8MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2012-09-25 00:00:00,2012-09-25 00:00:00,GE,F,
1072,490/06 E 197/23,06 E 197,CANDESARTAN CILEXETIL,KANZEN,COMPRIME,8MG,B/30,LISTE I,HOP,OFF,,SARL PHARMA SPHERE,ALGERIE,2023-05-31 00:00:00,2023-05-31 00:00:00,GE,F,24 MOIS
1073,035/06 E 201/17,06 E 201,RAMIPRIL,TANATRIL,COMPRIME SECABLE,10MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2017-07-16 00:00:00,2017-07-16 00:00:00,GE,F,24 MOIS
1074,050/06 E 201/12,06 E 201,RAMIPRIL,RAMINORM,COMPRIME,10MG,B/30,LISTE I,HOP,OFF,,SANDOZ,ALGERIE,2012-09-25 00:00:00,2012-09-25 00:00:00,GE,F,
1075,289/06 E 201/21,06 E 201,RAMIPRIL,TRIAMPEX,GELULE,10 MG,B/30,LISTE I,HOP,OFF,,FRATER-RAZES FORME SECHE,ALGERIE,2021-12-30 00:00:00,2021-12-30 00:00:00,GE,F,24 MOIS
1076,352/06 E 201/20,06 E 201,RAMIPRIL,RAMITRIM,COMPRIME SECABLE,10MG,BOITE DE 30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2020-12-07 00:00:00,2024-01-21 00:00:00,GE,F,36 MOIS
1077,447/06 E 201/13/18,06 E 201,RAMIPRIL,RAMIPRIL BEKER,COMPRIME SECABLE,10MG,B/30 et B/90,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2013-07-31 00:00:00,2018-07-30 00:00:00,GE,F,18 MOIS
1078,035/06 E 219/18,06 E 219,IRBESARTAN + HYDROCHLOROTHIAZIDE,IRBISART +,COMPRIME PELLICULE,"150MG/12,5MG",B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2018-07-16 00:00:00,2018-07-16 00:00:00,GE,F,24 MOIS
1079,055/06 E 219/19/24,06 E 219,IRBESARTAN + HYDROCHLOROTHIAZIDE,"GIZLAN-PLUS 150/12,5",COMPRIME PELLICULE,"150MG/12,5MG",B/30,LISTE I,HOP,OFF,,DAR AL DAWA,JORDANIE,2019-03-06 00:00:00,2024-05-26 00:00:00,GE,F,36 MOIS
1080,268/06 E 219/15/24,06 E 219,IRBESARTAN + HYDROCHLOROTHIAZIDE,CO-ARADEX,COMPRIME,"150MG/12,5MG",B/30,LISTE I,HOP,OFF,,LABORATOIRES MERINAL FABRICATION,ALGERIE,2015-05-31 00:00:00,2024-01-21 00:00:00,GE,F,36 MOIS
1081,309/06 E 219/22,06 E 219,IRBESARTAN + HYDROCHLOROTHIAZIDE,CO-IRBEZART,COMPRIME PELLICULE,"150MG/12,5MG",B/30,LISTE I,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2022-12-26 00:00:00,2024-05-23 00:00:00,GE,F,36 MOIS
1082,352/06 E 219/10/23,06 E 219,IRBESARTAN + HYDROCHLOROTHIAZIDE,CO APROSART,COMPRIME ENROBE,"150MG/12,5MG",B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2010-03-28 00:00:00,2023-07-03 00:00:00,GE,F,36 MOIS
1083,392/06 E 219/06/20,06 E 219,IRBESARTAN + HYDROCHLOROTHIAZIDE,COAPROVEL,COMPRIME PELLICULE,"150MG/12,5MG",B/30,LISTE I,HOP,OFF,,SANOFI AVENTIS ALGERIE SPA,ALGERIE,2006-07-23 00:00:00,2020-12-09 00:00:00,RE,F,36 MOIS
1084,426/06 E 219/13,06 E 219,IRBESARTAN + HYDROCHLOROTHIAZIDE,COARAVEL,COMPRIME PELLICULE,"150MG/12,5MG",B/30,LISTE I,HOP,OFF,,ABDI IBRAHIM REMEDE PHARMA,ALGERIE,2013-06-25 00:00:00,2013-06-25 00:00:00,GE,F,
1085,447/06 E 219/11/23,06 E 219,IRBESARTAN + HYDROCHLOROTHIAZIDE,CO-IRBEK,COMPRIME PELLICULE,"150MG/12,5MG",B/30 ET B/90,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2011-01-09 00:00:00,2023-04-12 00:00:00,GE,F,24 MOIS
1086,470/06 E 219/12,06 E 219,IRBESARTAN + HYDROCHLOROTHIAZIDE,COZIBRAT,COMPRIME PELLICULE,"150MG/12,5MG",B/30,LISTE I,HOP,OFF,,SARL LABORATOIRES MM,ALGERIE,2012-12-16 00:00:00,2012-12-16 00:00:00,GE,F,36 MOIS
1087,492/06 E 219/22,06 E 219,IRBESARTAN + HYDROCHLOROTHIAZIDE,CO-IRBEDIM,COMPRIME PELLICULE,"150MG/12,5MG",B/30,LISTE I,HOP,OFF,,SOPRODIM SPA,ALGERIE,2022-12-29 00:00:00,2022-12-29 00:00:00,GE,F,24 MOIS
1088,510/06 E 219/16,06 E 219,IRBESARTAN + HYDROCHLOROTHIAZIDE,CO AVSART,COMPRIME PELLICULE,"150MG/12,5MG",B/30,LISTE I,HOP,OFF,,ALEMBIC MAMI SPA,ALGERIE,2016-09-05 00:00:00,2016-09-05 00:00:00,GE,F,24 MOIS
1089,518/06 E 219/17,06 E 219,IRBESARTAN + HYDROCHLOROTHIAZIDE,"IRBE PLUS 150/12,5",COMPRIME,"150MG/12,5MG",B/30,LISTE I,HOP,OFF,,TAPHCO,ALGERIE,2017-10-30 00:00:00,2017-10-30 00:00:00,GE,F,24 MOIS
1090,544/06 E 219/11/19,06 E 219,IRBESARTAN + HYDROCHLOROTHIAZIDE,IPISART PLUS,COMPRIME PELLICULE,"150MG/12,5MG",B/30,LISTE I,HOP,OFF,,SARL WORLD MEDICINE,ALGERIE,2011-09-20 00:00:00,2019-07-24 00:00:00,GE,F,36 MOIS
1091,035/06 E 220/18,06 E 220,IRBESARTAN/HYDROCHLOROTHIAZIDE,IRBISART +,COMPRIME PELLICULE,"300MG/12,5MG",B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2018-03-19 00:00:00,2018-03-19 00:00:00,GE,F,24 MOIS
1092,055/06 E 220/19/24,06 E 220,IRBESARTAN/HYDROCHLOROTHIAZIDE,"GIZLAN-PLUS 300/12,5",COMPRIME PELLICULE,"300MG/12,5MG",B/30,LISTE I,HOP,OFF,,DAR AL DAWA,JORDANIE,2019-03-06 00:00:00,2024-05-26 00:00:00,GE,F,36 MOIS
1093,268/06 E 220/15/24,06 E 220,IRBESARTAN/HYDROCHLOROTHIAZIDE,CO-ARADEX 300/12.5,COMPRIME,"300MG/12,5MG",B/30,LISTE I,HOP,OFF,,LABORATOIRES MERINAL FABRICATION,ALGERIE,2015-08-09 00:00:00,2024-01-21 00:00:00,GE,F,36 MOIS
1094,309/06 E 220/22,06 E 220,IRBESARTAN/HYDROCHLOROTHIAZIDE,CO-IRBEZART 300MG+12.5MG,COMPRIME PELLICULE,"300MG/12,5MG",B/30,LISTE I,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2022-12-27 00:00:00,2024-05-23 00:00:00,GE,F,36 MOIS
1095,352/06 E 220/10/23,06 E 220,IRBESARTAN/HYDROCHLOROTHIAZIDE,CO APROSART,COMPRIME PELLICULE,"300MG/12,5MG",B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2010-03-28 00:00:00,2023-07-10 00:00:00,GE,F,36 MOIS
1096,392/06 E 220/06/20,06 E 220,IRBESARTAN/HYDROCHLOROTHIAZIDE,COAPROVEL,COMPRIME PELLICULE,"300MG/12,5MG",B/28,LISTE I,HOP,OFF,,SANOFI AVENTIS ALGERIE SPA,ALGERIE,2006-07-23 00:00:00,2020-12-09 00:00:00,RE,F,36 MOIS
1097,447/06 E 220/10/23,06 E 220,IRBESARTAN/HYDROCHLOROTHIAZIDE,CO-IRBEK,COMPRIME PELLICULE,"300MG/12,5MG",B/30 ET B/90,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2010-12-22 00:00:00,2023-04-12 00:00:00,GE,F,36 MOIS
1098,470/06 E 220/12,06 E 220,IRBESARTAN/HYDROCHLOROTHIAZIDE,COZIBRAT,COMPRIME PELLICULE,"300MG/12,5MG",B/30,LISTE I,HOP,OFF,,SARL LABORATOIRES MM,ALGERIE,2012-12-16 00:00:00,2012-12-16 00:00:00,GE,F,
1099,492/06 E 220/22,06 E 220,IRBESARTAN/HYDROCHLOROTHIAZIDE,CO-IRBEDIM,COMPRIME PELLICULE,"300MG/12,5MG",B/30,LISTE I,HOP,OFF,,SOPRODIM SPA,ALGERIE,2022-12-29 00:00:00,2022-12-29 00:00:00,GE,F,24 MOIS
1100,510/06 E 220/16,06 E 220,IRBESARTAN/HYDROCHLOROTHIAZIDE,CO AVASART,COMPRIME PELLICULE,"300MG/12,5MG",B/30,LISTE I,HOP,OFF,,ALEMBIC MAMI SPA,ALGERIE,2016-04-27 00:00:00,2016-04-27 00:00:00,GE,F,24 MOIS
1101,544/06 E 220/11/19,06 E 220,IRBESARTAN/HYDROCHLOROTHIAZIDE,IPISART PLUS,COMPRIME PELLICULE,"300MG/12,5MG",B/30,LISTE I,HOP,OFF,,SARL WORLD MEDICINE,ALGERIE,2011-09-20 00:00:00,2019-07-24 00:00:00,GE,F,36 MOIS
1102,352/06 E 227/15/22,06 E 227,PERINDOPRIL ERBUMINE/INDAPAMIDE,FLUTERAX,COMPRIME PELLICULE,"2MG/0,625MG",B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2015-12-13 00:00:00,2022-10-26 00:00:00,GE,F,24 MOIS
1103,447/06 E 227/14/21,06 E 227,PERINDOPRIL TER-BUTYLAMINE/INDAPAMIDE,EVERYL,COMPRIME SECABLE,"2MG/0,625MG",B/30 ET B/90,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2014-06-01 00:00:00,2021-12-30 00:00:00,GE,F,36 MOIS
1104,352/06 E 228/14/22,06 E 228,PERINDOPRIL TER-BUTYLAMINE/INDAPAMIDE,FLUTERAX,COMPRIME PELLICULE,"4MG/1,25MG",B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2014-07-13 00:00:00,2022-10-26 00:00:00,GE,F,36 MOIS
1105,447/06 E 228/14/21,06 E 228,PERINDOPRIL TER-BUTYLAMINE/INDAPAMIDE,BIEVERYL,COMPRIME SECABLE,4MG/125MG,B/30 ET B/90,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2014-06-01 00:00:00,2021-12-30 00:00:00,GE,F,36 MOIS
1106,001/06 E 230/09/23,06 E 230,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,BLOPRESS 8 PLUS,COMPRIME,"8MG/12,5MG",B/30,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2009-06-30 00:00:00,2023-02-06 00:00:00,GE,F,36 MOIS
