N,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,CONDITIONNEMENT,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,DATE D'ENREGISTREMENT FINAL,TYPE,STATUT,DUREE DE STABILITE
2935,318/13 P 519/24,13 P 519,ACICLOVIR,ACICLOVIR NS,SUSPENSION BUVABLE,200MG/5ML,FLACON DE 125ML EN VERRE,LISTE I,HOP,OFF,,PHARMIDAL NS,ALGERIE,2024-05-26 00:00:00,2024-05-26 00:00:00,GE,F,24 MOIS
2936,318/13 P 520/24,13 P 520,ACICLOVIR,ACICLOVIR NS,SUSPENSION BUVABLE,800MG/10ML,FLACON DE 125ML EN VERRE,LISTE I,HOP,OFF,,PHARMIDAL NS,ALGERIE,2024-05-26 00:00:00,2024-05-26 00:00:00,GE,F,24 MOIS
2937,447/13 P 524/23,13 P 524,TENOFOVIR ALAFENAMIDE,TAFEBRA,COMPRIME PELLICULE,25MG,B/ 30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2023-09-04 00:00:00,2024-07-03 00:00:00,GE,F,24 MOIS
2938,017/13 R 105/99/16,13 R 105,AMPHOTERICINE B,FUNGIZONE,POUDRE POUR SOLUTION INJECTABLE IV,50MG,B/01,LISTE I,HOP,,,BRISTOL MYERS SQUIBB PHARMA EEIG,FRANCE,1999-02-10 00:00:00,2017-03-05 00:00:00,RE,I,
2939,588/13 R 105/23,13 R 105,AMPHOTERICIUE B,AMPHOTRET,POUDRE LYOPHILISEE POUR INJ,50 MG,BOITE D'UN FLACON DE 10ML,LISTE I,HOP,,,BAHARAT SERUMS AND VACCINES LIMITED,INDE,2023-10-02 00:00:00,2023-10-02 00:00:00,GE,I,24 MOIS
2940,017/13 R 106/96/15,13 R 106,AMPHOTERICINE B,FUNGIZONE,SUSPENSION BUVABLE,10% (10G/100ML),FL/40ML,LISTE I,HOP,OFF,,BRISTOL MYERS SQUIBB PHARMA EEIG,FRANCE,1996-09-24 00:00:00,2015-01-25 00:00:00,RE,I,24 MOIS
2941,304/13 R 106/21,13 R 106,AMPHOTERICINE B,MYTRICINE,SOLUTION BUVABLE,10% (10G/100ML),FL/40ML,LISTE I,HOP,OFF,,GEOPHARM,ALGERIE,2021-02-23 00:00:00,2021-02-23 00:00:00,GE,F,24 MOIS
2942,001/13 R 107/97/16,13 R 107,FLUCONAZOLE,FLUCAND,SOLUTION INJECTABLE IV,2MG/ML (OU 200MG/100ML),FL/100 ML,LISTE I,HOP,,,HIKMA PHARMA ALGERIE,JORDANIE,1997-12-24 00:00:00,2016-02-02 00:00:00,GE,I,36 MOIS
2943,433/13 R 107/19,13 R 107,FLUCONAZOLE,FLUMIKOZ,SOL P/PERF I/V,200MG/100ML,FL/100ML,LISTE I,HOP,,,SPA / LES LABORATOIRES FRATER RAZES,ALGERIE,2019-12-19 00:00:00,2019-12-19 00:00:00,GE,F,24 MOIS
2944,003/13 R 110/96/13,13 R 110,GRISEOFULVINE,FONGENAL,COMPRIME SECABLE,250MG,B/30,LISTE I,HOP,OFF,,GROUPE SAIDAL,ALGERIE,1996-12-25 00:00:00,2013-10-27 00:00:00,GE,F,
2945,045/13 R 155/98/15,13 R 155,FLUCONAZOLE,FLUCONAZOLE PFIZER,GELULE,50MG,B/03,LISTE I,HOP,OFF,,PFIZER PHARM ALGERIE,ALGERIE,1998-11-25 00:00:00,2015-03-31 00:00:00,RE,F,36 MOIS
2946,195/13 R 155/13,13 R 155,FLUCONAZOLE,FLUCONAZOLE IVAL,GELULE,50MG,B/03,LISTE I,HOP,OFF,,PHARMA IVAL SPA,ALGERIE,2013-11-19 00:00:00,2013-11-19 00:00:00,GE,F,
2947,235/13 R 155/09/22,13 R 155,FLUCONAZOLE,VEFLAT,GELULE,50MG,B/03,LISTE I,HOP,OFF,,BIOGALENIC,ALGERIE,2009-12-24 00:00:00,2022-02-07 00:00:00,GE,F,36 MOIS
2948,242/13 R 155/19,13 R 155,FLUCONAZOLE,CANDIFLU,GELULE,50MG,B/10,LISTE I,HOP,OFF,,SARL GROUPE SANTE,ALGERIE,2019-07-17 00:00:00,2019-07-17 00:00:00,GE,F,24 MOIS
2949,268/13 R 155/06/13,13 R 155,FLUCONAZOLE,AMIKOZ 50,GELULE,50MG,B/03 ET B/07,LISTE I,HOP,OFF,,LABORATOIRES MERINAL FABRICATION,ALGERIE,2006-04-05 00:00:00,2013-04-02 00:00:00,GE,F,
2950,286/13 R 155/04/14,13 R 155,FLUCONAZOLE,DIFLU-GE,GELULE,50MG,B/03,LISTE I,HOP,OFF,,CHIMIE PHARMACIE COMMERCE MULTIPLE SARL (CPCM),ALGERIE,2004-11-10 00:00:00,2014-06-08 00:00:00,GE,F,36 MOIS
2951,293/13 R 155/09/17,13 R 155,FLUCONAZOLE,DIFLUCARE,GELULE,50MG,B/03,LISTE I,HOP,OFF,,BIOCARE,ALGERIE,2009-04-19 00:00:00,2017-05-02 00:00:00,GE,F,36 MOIS
2952,309/13 R 155/14/22,13 R 155,FLUCONAZOLE,SUPREMASE 50MG,GELULE,50MG,B/03,LISTE I,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2014-03-19 00:00:00,2022-10-13 00:00:00,GE,F,36 MOIS
2953,317/13 R 155/16/24,13 R 155,FLUCONAZOLE,FLUKAS,GELULE,50MG,B/10,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2016-09-27 00:00:00,2024-02-14 00:00:00,GE,F,36 MOIS
2954,318/13 R 155/15,13 R 155,FLUCONAZOLE,FLUCAZOL,GELULE,50MG,B/7,LISTE I,HOP,OFF,,PHARMIDAL NS,ALGERIE,2015-12-02 00:00:00,2015-12-02 00:00:00,GE,F,24 MOIS
2955,352/13 R 155/20,13 R 155,FLUCONAZOLE,LOMAZEL,GELULE,50MG,B/ 03,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2020-12-16 00:00:00,2023-01-28 00:00:00,GE,F,36 MOIS
2956,361/13 R 155/21,13 R 155,FLUCONAZOLE,FLUGIC,GELULE,50MG,B/30,LISTE I,HOP,OFF,,BIOHDER GROUP,ALGERIE,2021-04-05 00:00:00,2021-04-05 00:00:00,GE,F,24 MOIS
2957,418/13 R 155/13/23,13 R 155,FLUCONAZOLE,FLUCONALE,GELULE,50MG,B/03 ET B/07,LISTE I,HOP,OFF,,NEOMEDIC,ALGERIE,2013-01-13 00:00:00,2023-03-21 00:00:00,GE,F,24 MOIS
